236	Swae Lee	4,836,929,180	5,692,666,319	59	1	10	33	56	31.07.22
237	Hailee Steinfeld	4,815,845,560	606,712,238	31	1	10	19	28	19.09.22
238	Julia Michaels	4,811,539,257	1,690,872,391	65	1	7	39	62	16.09.22
239	Rammstein	4,781,710,534	3,762,124	245	0	10	88	189	27.08.22
240	Alicia Keys	4,777,678,003	1,427,914,798	253	0	8	56	176	17.09.22
241	Alok	4,738,018,362	231,488,539	212	0	12	75	136	29.08.22
242	Madonna	4,724,624,550	138,923,144	762	0	7	71	334	21.09.22
243	Jess Glynne	4,712,325,038	543,326,342	82	1	10	33	60	18.09.22
244	Zion & Lennox	4,710,887,632	2,887,125,495	159	0	11	47	91	31.07.22
245	Disclosure	4,690,114,197	24,281,620	186	0	7	55	127	31.07.22
246	Christina Aguilera	4,686,000,540	1,808,585,763	281	0	9	54	165	19.08.22
247	Kings of Leon	4,669,462,543	0	121	0	8	68	107	18.09.22
248	6LACK	4,650,333,571	952,817,602	79	0	10	63	79	03.09.22
249	Cheat Codes	4,629,305,378	313,902,252	151	0	7	44	92	31.07.22
250	Tove Lo	4,629,278,952	1,360,259,448	144	0	7	65	108	09.09.22
251	Florence + The Machine	4,623,650,408	380,091	160	0	9	83	142	21.09.22
252	Creedence Clearwater Revival	4,623,595,600	0	145	0	11	38	124	23.08.22
253	Florida Georgia Line	4,609,041,041	2,478,742,591	124	0	15	66	92	21.08.22
254	My Chemical Romance	4,607,083,284	0	139	0	11	58	117	14.09.22
255	Alesso	4,597,495,128	137,641,031	129	0	10	39	94	13.08.22
256	Arijit Singh	4,573,567,798	939,497,796	572	0	4	112	261	01.09.22
257	Glass Animals	4,554,159,224	4,423,329	109	1	6	45	79	15.09.22
258	The Script	4,553,052,747	1,343,266	99	1	8	51	88	12.09.22
259	Zé Neto & Cristiano	4,540,609,590	463,313,203	169	0	13	85	148	12.09.22
260	Whitney Houston	4,524,229,413	14,243,812	282	0	9	39	148	21.09.22
261	Chance the Rapper	4,517,223,691	3,118,921,754	105	0	12	50	89	05.09.22
262	Piso 21	4,511,325,667	62,804,762	86	0	12	33	76	31.07.22
263	Five Finger Death Punch	4,506,617,068	0	138	0	9	90	135	31.07.22
264	Bruce Springsteen	4,480,464,759	47,313,864	821	0	10	60	392	11.09.22
265	Arcangel	4,475,257,907	5,081,836,495	244	0	11	59	199	11.08.22
266	Fifth Harmony	4,469,842,534	264,728,453	75	1	7	47	75	21.09.22
267	Nickelback	4,469,299,972	0	150	0	12	58	106	06.09.22
268	Lenny Tavárez	4,449,161,492	3,924,285,642	94	0	10	51	86	31.07.22
269	Jason Mraz	4,439,148,339	98,804,484	238	1	6	49	155	31.07.22
270	Galantis	4,427,621,050	102,139,066	243	0	8	52	156	31.07.22
271	Avril Lavigne	4,418,987,832	25,567,335	154	0	10	64	123	10.09.22
272	Bring Me The Horizon	4,378,679,150	86,213,177	141	0	11	67	136	21.09.22
273	Glee Cast	4,375,931,294	0	723	0	0	103	615	23.08.22
274	Ne-Yo	4,368,629,006	2,245,144,528	204	0	10	35	136	31.07.22
275	Lil Durk	4,367,616,218	3,009,354,038	359	0	6	90	270	17.09.22
276	Kane Brown	4,364,488,364	29,797,048	98	0	10	57	89	31.07.22
277	Kehlani	4,361,626,721	2,028,969,469	124	0	10	77	111	09.08.22
278	Kevin Gates	4,359,021,971	739,286,985	314	0	6	111	232	07.08.22
279	Niall Horan	4,338,726,666	517,135,427	69	0	11	39	65	19.09.22
280	Bryson Tiller	4,330,601,767	1,295,854,047	70	0	8	53	69	05.09.22
281	Jonas Brothers	4,329,888,033	498,204,068	95	1	9	39	88	07.08.22
282	Bizarrap	4,326,642,648	503,968,381	87	0	12	63	86	14.09.22
283	Capital Bra	4,317,253,980	673,800,705	276	0	9	90	207	07.08.22
284	Lil Tjay	4,313,086,274	1,884,183,028	65	0	11	53	65	31.07.22
285	Snoop Dogg	4,300,203,668	6,192,858,304	726	1	7	49	274	25.08.22
286	Macklemore & Ryan Lewis	4,290,529,937	4,265,483	48	1	6	31	48	04.09.22
287	Lil Tecca	4,273,063,329	302,858,918	79	1	11	43	78	12.09.22
288	Luke Bryan	4,267,128,439	540,870,550	149	0	14	60	124	01.08.22
289	Natti Natasha	4,253,199,571	2,141,323,366	93	0	9	44	72	17.09.22
290	Wisin	4,226,257,427	5,360,562,962	131	0	10	43	101	18.08.22
291	Aerosmith	4,219,398,737	0	318	0	9	31	158	17.09.22
292	Vance Joy	4,216,274,820	0	87	1	9	39	67	01.08.22
293	Kelly Clarkson	4,207,783,336	231,053,258	329	0	8	43	145	20.09.22
294	Alejandro Fernández	4,201,269,620	352,247,735	313	0	11	71	240	31.07.22
295	Stevie Wonder	4,196,723,912	301,358,086	657	0	11	51	165	11.09.22
296	Jennifer Lopez	4,192,047,969	1,098,564,852	240	0	13	51	131	21.09.22
297	Thomas Rhett	4,191,597,927	253,703,247	121	0	15	58	110	21.09.22
298	Johnny Cash	4,174,390,143	163,740,766	1,679	0	7	62	270	19.08.22
299	Maná	4,119,964,379	63,757,921	220	0	12	54	152	18.08.22
300	Ryan Lewis	4,110,355,782	43,371,022	33	1	6	30	32	31.07.22
301	Hans Zimmer	4,092,359,874	28,889,985	1,545	0	3	82	556	31.07.22
302	NAV	4,088,499,280	2,047,656,950	117	0	10	73	116	08.09.22
303	Lil Pump	4,054,627,650	489,787,370	74	0	10	39	56	31.07.22
304	Pearl Jam	4,052,231,789	1,714,468	2,127	0	9	56	241	31.07.22
305	James Bay	4,051,355,922	4,322,506	90	0	9	40	71	12.08.22
306	Disturbed	4,034,857,022	0	173	0	6	72	146	31.07.22
307	YG	4,034,206,176	2,483,928,402	198	0	8	71	138	31.07.22
308	Amy Winehouse	4,031,934,612	271,439,246	157	0	7	51	97	21.09.22
309	Wisin & Yandel	4,004,531,845	1,138,129,281	293	0	12	52	143	31.07.22
310	YNW Melly	3,991,996,348	358,365,119	83	0	9	36	80	31.07.22
311	Lil Skies	3,968,361,888	771,922,724	75	0	9	49	74	22.08.22
312	Kesha	3,964,037,866	1,967,611,420	139	0	10	42	105	20.09.22
313	Nio Garcia	3,960,430,779	148,061,782	124	0	7	33	95	31.07.22
314	Tones And I	3,957,800,698	0	33	1	5	16	30	17.09.22
315	Backstreet Boys	3,949,466,238	190,415,468	145	1	8	41	123	18.09.22
316	Aventura	3,943,857,084	277,731	123	0	12	42	104	01.09.22
317	Flume	3,942,056,858	71,915,552	145	0	9	57	132	31.07.22
318	Dr. Dre	3,941,098,327	2,333,152,181	75	0	8	27	69	19.09.22
319	Miguel	3,933,509,386	2,281,579,993	145	0	8	50	116	31.07.22
320	Jul	3,931,452,487	1,224,446,142	572	0	0	92	549	18.09.22
321	Lizzo	3,911,061,177	149,519,280	79	0	8	30	64	12.09.22
322	ROSALÍA	3,888,426,466	1,868,321,406	61	0	8	45	60	21.09.22
323	Billy Joel	3,885,486,622	9,486,894	383	0	10	41	146	16.08.22
324	Calibre 50	3,859,723,768	113,438,733	226	0	10	75	169	25.08.22
325	Phil Collins	3,836,785,174	112,543,325	339	0	9	40	154	14.08.22
326	Matheus & Kauan	3,831,562,276	641,789,431	179	0	12	84	168	12.09.22
327	Akon	3,813,017,846	3,443,287,227	207	0	9	40	115	31.07.22
328	Jason Aldean	3,797,816,243	160,198,658	166	0	8	67	150	31.07.22
329	Eagles	3,784,792,723	0	189	1	8	38	117	23.08.22
330	George Ezra	3,745,977,355	36,850	76	0	7	38	65	07.09.22
331	Ninho	3,736,521,075	1,674,038,134	146	0	4	109	127	21.09.22
332	Yandel	3,731,724,067	2,554,750,509	175	0	9	57	145	31.07.22
333	Prince Royce	3,724,376,964	1,410,667,496	127	0	10	56	117	31.07.22
334	The Offspring	3,713,219,015	0	159	0	7	47	129	13.08.22
335	24kGoldn	3,705,648,954	290,659,683	62	1	7	24	56	31.07.22
336	Three Days Grace	3,698,665,397	721,162	96	0	8	59	90	31.07.22
337	Wesley Safadão	3,698,314,476	601,019,965	283	0	6	61	261	31.07.22
338	Anderson .Paak	3,694,145,511	1,286,658,854	152	0	5	72	121	31.07.22
339	The Strokes	3,688,560,624	2,648,075	82	0	6	65	74	07.08.22
340	Don Toliver	3,686,151,351	866,301,010	66	1	5	40	61	05.09.22
341	Conan Gray	3,684,167,999	0	35	0	10	31	35	15.09.22
342	Dan + Shay	3,680,653,230	24,147,013	73	0	9	42	67	03.08.22
343	Rex Orange County	3,678,846,424	355,535,640	58	0	8	39	58	11.09.22
344	Jeremih	3,674,742,679	3,281,118,134	140	0	8	34	93	24.08.22
345	benny blanco	3,661,450,439	15,107,205	23	1	7	14	21	04.09.22
346	Cartel De Santa	3,655,552,123	267,606,780	136	0	10	61	127	10.09.22
347	Avenged Sevenfold	3,634,693,374	3,257,731	163	0	9	64	137	31.07.22
348	Céline Dion	3,630,375,878	50,038,245	492	0	9	58	255	21.09.22
349	Ricardo Arjona	3,629,270,035	8,921,931	341	0	3	74	277	31.07.22
350	Måneskin	3,610,738,987	3,897,748	33	1	7	30	32	21.09.22
351	Alejandro Sanz	3,592,290,895	587,226,747	380	0	6	53	214	31.07.22
352	Lin-Manuel Miranda	3,592,135,787	216,187,104	95	0	14	41	75	31.07.22
