I Know There's An Answer - Stereo / Remastered;Pet Sounds;The Beach Boys;data/lyrics/The-beach-boys-i-know-theres-an-answer.txt
Here Today - Stereo / Remastered;Pet Sounds;The Beach Boys;data/lyrics/The-beach-boys-here-today.txt
I Just Wasn't Made For These Times - Stereo / Remastered;Pet Sounds;The Beach Boys;data/lyrics/The-beach-boys-i-just-wasnt-made-for-these-times.txt
Pet Sounds - Stereo / Remastered;Pet Sounds;The Beach Boys;data/lyrics/The-beach-boys-pet-sounds.txt
Caroline, No - Stereo / Remastered;Pet Sounds;The Beach Boys;data/lyrics/The-beach-boys-caroline-no.txt
All I Want by KillBossa;Blue;Joni Mitchell;
My Old Man by Bharathi Palivela & Daniel Fabricant;Blue;Joni Mitchell;
Little Green by Kelly McFarling;Blue;Joni Mitchell;
Carey by the Beth Custer Ensemble;Blue;Joni Mitchell;
Blue by Kitka;Blue;Joni Mitchell;
California by Amy X Neuburg;Blue;Joni Mitchell;
This Flight Tonight by Adam Theis (feat. Aima the Dreamer & Erica Dee);Blue;Joni Mitchell;
River by Suzy Thompson;Blue;Joni Mitchell;
A Case of You by the Seshen;Blue;Joni Mitchell;
Last Time I Saw Richard by Katy Stephan and Classical Revolution;Blue;Joni Mitchell;
Love's In Need Of Love Today;Songs in the Key of Life;Stevie Wonder;data/lyrics/Stevie-wonder-loves-in-need-of-love-today.txt
Have A Talk With God;Songs in the Key of Life;Stevie Wonder;data/lyrics/Stevie-wonder-have-a-talk-with-god.txt
Village Ghetto Land;Songs in the Key of Life;Stevie Wonder;data/lyrics/Stevie-wonder-village-ghetto-land.txt
Contusion;Songs in the Key of Life;Stevie Wonder;data/lyrics/Stevie-wonder-contusion.txt
Sir Duke;Songs in the Key of Life;Stevie Wonder;data/lyrics/Stevie-wonder-sir-duke.txt
I Wish;Songs in the Key of Life;Stevie Wonder;data/lyrics/Stevie-wonder-i-wish.txt
Knocks Me Off My Feet;Songs in the Key of Life;Stevie Wonder;data/lyrics/Stevie-wonder-knocks-me-off-my-feet.txt
Pastime Paradise;Songs in the Key of Life;Stevie Wonder;data/lyrics/Stevie-wonder-pastime-paradise.txt
Summer Soft;Songs in the Key of Life;Stevie Wonder;data/lyrics/Stevie-wonder-summer-soft.txt
Ordinary Pain;Songs in the Key of Life;Stevie Wonder;data/lyrics/Stevie-wonder-ordinary-pain.txt
Isn't She Lovely;Songs in the Key of Life;Stevie Wonder;data/lyrics/Stevie-wonder-isnt-she-lovely.txt
Joy Inside My Tears;Songs in the Key of Life;Stevie Wonder;data/lyrics/Stevie-wonder-joy-inside-my-tears.txt
Black Man;Songs in the Key of Life;Stevie Wonder;data/lyrics/Stevie-wonder-black-man.txt
Ngiculela-Es Una Historia-I Am Singing;Songs in the Key of Life;Stevie Wonder;
If It's Magic;Songs in the Key of Life;Stevie Wonder;data/lyrics/Stevie-wonder-if-its-magic.txt
As;Songs in the Key of Life;Stevie Wonder;data/lyrics/Stevie-wonder-as.txt
Another Star;Songs in the Key of Life;Stevie Wonder;data/lyrics/Stevie-wonder-another-star.txt
Saturn;Songs in the Key of Life;Stevie Wonder;data/lyrics/Stevie-wonder-saturn.txt
Ebony Eyes;Songs in the Key of Life;Stevie Wonder;data/lyrics/Stevie-wonder-ebony-eyes.txt
All Day Sucker;Songs in the Key of Life;Stevie Wonder;data/lyrics/Stevie-wonder-all-day-sucker.txt
Easy Goin' Evening (My Mama's Call);Songs in the Key of Life;Stevie Wonder;data/lyrics/Stevie-wonder-easy-goin-evening-my-mamas-call.txt
Come Together - Remastered 2009;Abbey Road;The Beatles;data/lyrics/The-beatles-come-together.txt
Something - Remastered 2009;Abbey Road;The Beatles;data/lyrics/The-beatles-something.txt
Maxwell's Silver Hammer - Remastered 2009;Abbey Road;The Beatles;data/lyrics/The-beatles-maxwells-silver-hammer.txt
Oh! Darling - Remastered 2009;Abbey Road;The Beatles;data/lyrics/The-beatles-oh-darling.txt
Octopus's Garden - Remastered 2009;Abbey Road;The Beatles;data/lyrics/The-beatles-octopuss-garden.txt
I Want You (She's So Heavy) - Remastered 2009;Abbey Road;The Beatles;
Here Comes The Sun - Remastered 2009;Abbey Road;The Beatles;data/lyrics/The-beatles-here-comes-the-sun.txt
Because - Remastered 2009;Abbey Road;The Beatles;data/lyrics/The-beatles-because.txt
You Never Give Me Your Money - Remastered 2009;Abbey Road;The Beatles;data/lyrics/The-beatles-you-never-give-me-your-money.txt
Sun King - Remastered 2009;Abbey Road;The Beatles;data/lyrics/The-beatles-sun-king.txt
Mean Mr Mustard - Remastered 2009;Abbey Road;The Beatles;data/lyrics/The-beatles-mean-mr-mustard.txt
Polythene Pam - Remastered 2009;Abbey Road;The Beatles;data/lyrics/The-beatles-polythene-pam.txt
She Came In Through The Bathroom Window - Remastered 2009;Abbey Road;The Beatles;data/lyrics/The-beatles-she-came-in-through-the-bathroom-window.txt
Golden Slumbers - Remastered 2009;Abbey Road;The Beatles;data/lyrics/The-beatles-golden-slumbers.txt
Carry That Weight - Remastered 2009;Abbey Road;The Beatles;data/lyrics/The-beatles-carry-that-weight.txt
The End - Remastered 2009;Abbey Road;The Beatles;data/lyrics/The-beatles-the-end.txt
Her Majesty - Remastered 2009;Abbey Road;The Beatles;data/lyrics/The-beatles-her-majesty.txt
Smells Like Teen Spirit;Nevermind;Nirvana;data/lyrics/Nirvana-smells-like-teen-spirit.txt
In Bloom;Nevermind;Nirvana;data/lyrics/Nirvana-in-bloom.txt
Come As You Are;Nevermind;Nirvana;data/lyrics/Nirvana-come-as-you-are.txt
Breed;Nevermind;Nirvana;data/lyrics/Nirvana-breed.txt
Lithium;Nevermind;Nirvana;data/lyrics/Nirvana-lithium.txt
Polly;Nevermind;Nirvana;data/lyrics/Nirvana-polly.txt
