artist;album;album_release_date;album_ranking;n_tracks;track;track_duration (s)
Café Tacvba;Re;1994-07-20;7;20;La pinta;169
Café Tacvba;Re;1994-07-20;7;20;El baile y el salón;308
Café Tacvba;Re;1994-07-20;7;20;El puñal y el corazón;261
Café Tacvba;Re;1994-07-20;7;20;El balcón;101
Calle 13;Los De Atras Vienen Conmigo;2008-07-21;8;16;Intro Crónica De Un Nacimiento;96
Calle 13;Los De Atras Vienen Conmigo;2008-07-21;8;16;Que Lloren;279
Calle 13;Los De Atras Vienen Conmigo;2008-07-21;8;16;No Hay Nadie Como Tú (feat. Café Tacuba);293
Calle 13;Los De Atras Vienen Conmigo;2008-07-21;8;16;Gringo Latin Funk;257
Calle 13;Los De Atras Vienen Conmigo;2008-07-21;8;16;Ven Y Critícame;265
Calle 13;Los De Atras Vienen Conmigo;2008-07-21;8;16;Esto Con Eso;250
Calle 13;Los De Atras Vienen Conmigo;2008-07-21;8;16;La Perla (feat. Rubén Blades & La Chilinga);416
Calle 13;Los De Atras Vienen Conmigo;2008-07-21;8;16;Electro Movimiento;197
Calle 13;Los De Atras Vienen Conmigo;2008-07-21;8;16;Intro Fiesta De Locos;18
Calle 13;Los De Atras Vienen Conmigo;2008-07-21;8;16;Fiesta De Locos;268
Calle 13;Los De Atras Vienen Conmigo;2008-07-21;8;16;Los De Atrás Vienen Conmigo;216
Calle 13;Los De Atras Vienen Conmigo;2008-07-21;8;16;Tal Para Cual;228
Calle 13;Los De Atras Vienen Conmigo;2008-07-21;8;16;Interlude: Irie Rasa Man;23
Calle 13;Los De Atras Vienen Conmigo;2008-07-21;8;16;Bienvenidos A Mi Mundo;237
Calle 13;Los De Atras Vienen Conmigo;2008-07-21;8;16;John, El Esquizofrénico;274
Calle 13;Los De Atras Vienen Conmigo;2008-07-21;8;16;Outro;47
Carlos Vives;Clasicos De La Provincia;1994-02-22;9;15;La Gota Fria;215
Carlos Vives;Clasicos De La Provincia;1994-02-22;9;15;Amor Sensible;267
Carlos Vives;Clasicos De La Provincia;1994-02-22;9;15;Alicia Adorada;256
Carlos Vives;Clasicos De La Provincia;1994-02-22;9;15;La Hamaca Grande;188
Carlos Vives;Clasicos De La Provincia;1994-02-22;9;15;El Cantor de Fonseca;188
Carlos Vives;Clasicos De La Provincia;1994-02-22;9;15;Matilde Lina;237
Carlos Vives;Clasicos De La Provincia;1994-02-22;9;15;Altos del Rosario;236
Carlos Vives;Clasicos De La Provincia;1994-02-22;9;15;Honda Herida;184
Carlos Vives;Clasicos De La Provincia;1994-02-22;9;15;La Cañaguatera;192
Carlos Vives;Clasicos De La Provincia;1994-02-22;9;15;Lirio Rojo;169
Carlos Vives;Clasicos De La Provincia;1994-02-22;9;15;La Tijera;208
Carlos Vives;Clasicos De La Provincia;1994-02-22;9;15;Compa'e Chipuco;196
Carlos Vives;Clasicos De La Provincia;1994-02-22;9;15;Pedazo de Acordeon;246
Carlos Vives;Clasicos De La Provincia;1994-02-22;9;15;La Celosa;254
Carlos Vives;Clasicos De La Provincia;1994-02-22;9;15;Contestacion a la Brasilera - Fragmento;53
Celia Y Johnny;Celia Y Johnny;1974-01-01;10;10;Quimbara;292
Celia Y Johnny;Celia Y Johnny;1974-01-01;10;10;Toro Mata;342
Celia Y Johnny;Celia Y Johnny;1974-01-01;10;10;Vieja Luna;195
Celia Y Johnny;Celia Y Johnny;1974-01-01;10;10;El Paso Del Mulo;280
Celia Y Johnny;Celia Y Johnny;1974-01-01;10;10;Tengo El Idde;302
Celia Y Johnny;Celia Y Johnny;1974-01-01;10;10;Lo Tuyo Es Mental;195
Celia Y Johnny;Celia Y Johnny;1974-01-01;10;10;Canto A La Habana;331
Celia Y Johnny;Celia Y Johnny;1974-01-01;10;10;No Mercedes;258
Celia Y Johnny;Celia Y Johnny;1974-01-01;10;10;El Tumbao Y Celia;294
Celia Y Johnny;Celia Y Johnny;1974-01-01;10;10;El Pregón Del Pescador;304
Charly Garcia;Clics Modernos;1983-11-05;11;9;Nos Siguen Pegando Abajo;207
Charly Garcia;Clics Modernos;1983-11-05;11;9;No Soy Un Extraño;196
Charly Garcia;Clics Modernos;1983-11-05;11;9;Dos Cero Uno;128
Charly Garcia;Clics Modernos;1983-11-05;11;9;Nuevos Trapos;245
Charly Garcia;Clics Modernos;1983-11-05;11;9;Bancate Ese Defecto;295
Charly Garcia;Clics Modernos;1983-11-05;11;9;No Me Dejan Salir;263
Charly Garcia;Clics Modernos;1983-11-05;11;9;Los Dinosaurios;208
Charly Garcia;Clics Modernos;1983-11-05;11;9;Plateado Sobre Plateado (Huellas En El Mar);298
Charly Garcia;Clics Modernos;1983-11-05;11;9;Ojos De Video Tape;215
Daddy Yankee;Barrio Fino;2004-07-13;12;17;Perros Salvajes;190
Daddy Yankee;Barrio Fino;2004-07-13;12;17;Miss Show;169
Daddy Yankee;Barrio Fino;2004-07-13;12;17;Pon T Loca;179
Daddy Yankee;Barrio Fino;2004-07-13;12;17;El Amante;221
Daddy Yankee;Barrio Fino;2004-07-13;12;17;Pasarela;194
Daddy Yankee;Barrio Fino;2004-07-13;12;17;Po'Encima;153
Daddy Yankee;Barrio Fino;2004-07-13;12;17;La Noche De Los Dos;223
Daddy Yankee;Barrio Fino;2004-07-13;12;17;Llegamos A La Disco;453
Daddy Yankee;Barrio Fino;2004-07-13;12;17;Switchea;185
Daddy Yankee;Barrio Fino;2004-07-13;12;17;Limbo;225
Daddy Yankee;Barrio Fino;2004-07-13;12;17;La Calle Moderna;212
Daddy Yankee;Barrio Fino;2004-07-13;12;17;After Party;225
Daddy Yankee;Barrio Fino;2004-07-13;12;17;La Maquina De Baile;164
Daddy Yankee;Barrio Fino;2004-07-13;12;17;Mas Que Un Amigo;245
Daddy Yankee;Barrio Fino;2004-07-13;12;17;Baby;183
Daddy Yankee;Barrio Fino;2004-07-13;12;17;Lovumba;218
Daddy Yankee;Barrio Fino;2004-07-13;12;17;Ven Conmigo;220
Draco Rosa;Vagabundo;1996-06-18;13;14;Hablando Del Amor;72
Draco Rosa;Vagabundo;1996-06-18;13;14;Madre Tierra;215
Draco Rosa;Vagabundo;1996-06-18;13;14;Llanto Subterraneo;232
Draco Rosa;Vagabundo;1996-06-18;13;14;Vagabundo;217
Draco Rosa;Vagabundo;1996-06-18;13;14;Penélope;284
Draco Rosa;Vagabundo;1996-06-18;13;14;Delirios;180
Draco Rosa;Vagabundo;1996-06-18;13;14;Para No Olvidar;256
Draco Rosa;Vagabundo;1996-06-18;13;14;Blanca Mujer;231
Draco Rosa;Vagabundo;1996-06-18;13;14;Vertigo;164
Draco Rosa;Vagabundo;1996-06-18;13;14;Vivir;261
Draco Rosa;Vagabundo;1996-06-18;13;14;Brujería;209
Draco Rosa;Vagabundo;1996-06-18;13;14;La Flor Del Frio;235
Draco Rosa;Vagabundo;1996-06-18;13;14;Amantes Hasta el Fin;303
Draco Rosa;Vagabundo;1996-06-18;13;14;Mientras Camino;38
Elvis Crespo;Suavemente;1998-04-14;14;10;Suavemente;267
Elvis Crespo;Suavemente;1998-04-14;14;10;Nuestra Cancion;209
Elvis Crespo;Suavemente;1998-04-14;14;10;Luna Llena;266
Elvis Crespo;Suavemente;1998-04-14;14;10;Me Arrepiento;226
Elvis Crespo;Suavemente;1998-04-14;14;10;Princesita;288
Elvis Crespo;Suavemente;1998-04-14;14;10;Tu Sonrisa;274
Elvis Crespo;Suavemente;1998-04-14;14;10;Yo Me Moriré;212
Elvis Crespo;Suavemente;1998-04-14;14;10;Llorando;237
Elvis Crespo;Suavemente;1998-04-14;14;10;¿Por Qué?;265
Elvis Crespo;Suavemente;1998-04-14;14;10;Te Vas;259
Enrique Iglesias;Vivir;1997-01-21;15;10;Enamorado Por Primera Vez;269
Enrique Iglesias;Vivir;1997-01-21;15;10;Al Despertar;255
Enrique Iglesias;Vivir;1997-01-21;15;10;Lluvia Cae;273
Enrique Iglesias;Vivir;1997-01-21;15;10;Tu Vacio;235
Enrique Iglesias;Vivir;1997-01-21;15;10;Solo En Tí (Only You);211
Enrique Iglesias;Vivir;1997-01-21;15;10;Miente;216
Enrique Iglesias;Vivir;1997-01-21;15;10;Viviré Y Moriré;244
Enrique Iglesias;Vivir;1997-01-21;15;10;Volveré;277
Enrique Iglesias;Vivir;1997-01-21;15;10;El Muro;253
Enrique Iglesias;Vivir;1997-01-21;15;10;Revolucíon;238
Los Fabulosos Cadillacs;Vasos Vacios;1993-06-18;16;17;Cadillacs (Version '93) - Remasterizado 2008;95
Los Fabulosos Cadillacs;Vasos Vacios;1993-06-18;16;17;Matador - Remasterizado 2008;276
Los Fabulosos Cadillacs;Vasos Vacios;1993-06-18;16;17;Te Tiraré del Altar (Versión '93) - Remasterizado 2008;187
Los Fabulosos Cadillacs;Vasos Vacios;1993-06-18;16;17;Quinto Centenario - Remasterizado 2008;235
Los Fabulosos Cadillacs;Vasos Vacios;1993-06-18;16;17;Mi Novia Se Cayó En Un Pozo Ciego (Versión '93) - Remasterizado 2008;160
Los Fabulosos Cadillacs;Vasos Vacios;1993-06-18;16;17;El Satánico Dr. Cadillac (Versión '93) - Remasterizado 2008;257
Los Fabulosos Cadillacs;Vasos Vacios;1993-06-18;16;17;Gitana (Remix) - Remasterizado 2008;193
Los Fabulosos Cadillacs;Vasos Vacios;1993-06-18;16;17;Siguiendo la Luna - Remasterizado 2008;300
Los Fabulosos Cadillacs;Vasos Vacios;1993-06-18;16;17;Manuel Santillán, el León (Versión Reggae) - Remasterizado 2008;240
Los Fabulosos Cadillacs;Vasos Vacios;1993-06-18;16;17;Demasiada Presión - Remasterizado 2008;251
Los Fabulosos Cadillacs;Vasos Vacios;1993-06-18;16;17;Vasos Vacíos - Remasterizado 2008;281
Los Fabulosos Cadillacs;Vasos Vacios;1993-06-18;16;17;Revolution Rock - Remasterizado 2008;299
Los Fabulosos Cadillacs;Vasos Vacios;1993-06-18;16;17;Yo No Me Sentaría en Tu Mesa - Remasterizado 2008;174
Los Fabulosos Cadillacs;Vasos Vacios;1993-06-18;16;17;Yo Te Avisé - Remasterizado 2008;190
Los Fabulosos Cadillacs;Vasos Vacios;1993-06-18;16;17;El Genio del Dub - Remasterizado 2008;324
Los Fabulosos Cadillacs;Vasos Vacios;1993-06-18;16;17;Silencio Hospital (Demo '85) - Remasterizado 2008;128
Los Fabulosos Cadillacs;Vasos Vacios;1993-06-18;16;17;Basta De Llamarme Así - Remasterizado 2008;216
Franco De Vita;Al Norte Del Sur;1988;17;11;Te Equivocaste Conmigo;275
Franco De Vita;Al Norte Del Sur;1988;17;11;Louis;310
Franco De Vita;Al Norte Del Sur;1988;17;11;Te Amo;227
Franco De Vita;Al Norte Del Sur;1988;17;11;Un Poco De Respeto;231
Franco De Vita;Al Norte Del Sur;1988;17;11;Aun Vivo;226
Franco De Vita;Al Norte Del Sur;1988;17;11;Promesas;258
Franco De Vita;Al Norte Del Sur;1988;17;11;Soy Como Soy;256
Franco De Vita;Al Norte Del Sur;1988;17;11;Esta Vez;232
Franco De Vita;Al Norte Del Sur;1988;17;11;Loco De Atar;242
Franco De Vita;Al Norte Del Sur;1988;17;11;Plaza Del Centro;261
Franco De Vita;Al Norte Del Sur;1988;17;11;Al Norte Del Sur;160
Gloria Estefan;Mi Tierra;1993-06-03;18;12;Con los Años Que Me Quedan;277
Gloria Estefan;Mi Tierra;1993-06-03;18;12;Mi Tierra;278
Gloria Estefan;Mi Tierra;1993-06-03;18;12;Ayer;315
Gloria Estefan;Mi Tierra;1993-06-03;18;12;Mi Buen Amor;228
Gloria Estefan;Mi Tierra;1993-06-03;18;12;Tus Ojos;251
Gloria Estefan;Mi Tierra;1993-06-03;18;12;No Hay Mal Que por Bien No Venga;327
Gloria Estefan;Mi Tierra;1993-06-03;18;12;Si Senor!...;280
